primary_ticker,ciq_company_id,transcript_id,key_devid,transcript_date,headline,parsing_quality_flag,cleaning_warning,warning_type,raw_component_count,cleaned_component_count,raw_word_count,cleaned_word_count,llm_word_count,word_count_drop_pct,has_presentation,has_qa,management_speaker_count,analyst_speaker_count,operator_component_count,safe_harbor_component_count,uncertain_safe_harbor_component_count,notes
PEP,32854,16787,6170256,2009-02-13,"Pepsico, Inc., Q4 2008 Earnings Call, Feb 13, 2009",needs_review,llm_text_empty; no_management_speaker_detected,llm_text_empty; no_management_speaker_detected,8,8,8821,8821,0,1.0,True,True,0,0,8,0,1,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata"
ADI,251411,3627870,2603956,2006-02-09,"Analog Devices Inc., Q1 2006 Earnings Call, Feb-09-2006",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,40,40,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
CDNS,25941,3634454,2562806,2006-02-01,"Cadence Design Systems Inc., Q4 2005 Earnings Call, Feb-01-2006",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,75,75,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
GILD,29002,3626860,2537694,2006-01-30,"Gilead Sciences Inc., Q4 2005 Earnings Call, Jan-30-2006",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,28,28,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
GILD,29002,3626856,2716823,2006-04-18,"Gilead Sciences Inc., Q1 2006 Earnings Call, Apr-18-2006",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,25,25,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
MU,289030,3629657,2483968,2005-12-21,"Micron Technology Inc., Q1 2006 Earnings Call, Dec-21-2005",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,35,35,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
ORLY,324289,58861,100330268,2010-04-29,"O'Reilly Automotive Inc., Q1 2010 Earnings Call, Apr-29-2010",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,15,15,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
ROST,33926,3634967,2684293,2006-03-15,"Ross Stores Inc., Q4 2006 Earnings Call, Mar 15, 2006",needs_review,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,1,71,71,0,1.0,True,False,0,0,1,0,0,"empty default LLM text, usually very short/operator-only or malformed component structure; no management speaker detected in component metadata; no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
ADI,251411,16969,6220719,2009-02-18,"Analog Devices Inc., Q1 2009 Earnings Call, Feb-18-2009",needs_review,no_presentation_section_detected,no_presentation_section_detected,139,139,11793,11793,11075,0.0608835750021199,False,True,3,13,12,1,1,no presentation section detected; may be Q&A-only or section metadata issue
ASML,388904,1431741,559535974,2018-04-18,"ASML Holding N.V., Q1 2018 Earnings Call, Apr 18, 2018",needs_review,no_presentation_section_detected,no_presentation_section_detected,10,10,1083,1083,1083,0.0,False,True,1,1,0,0,0,no presentation section detected; may be Q&A-only or section metadata issue
ASML,388904,1758888,599330537,2019-01-23,"ASML Holding N.V., Q4 2018 Pre Recorded Earnings Call, Jan 23, 2019",needs_review,no_presentation_section_detected,no_presentation_section_detected,18,18,2112,2112,2112,0.0,False,True,2,0,0,0,0,no presentation section detected; may be Q&A-only or section metadata issue
ASML,388904,1701128,610873920,2019-04-17,"ASML Holding N.V., Q1 2019 Earnings Call, Apr 17, 2019",needs_review,no_presentation_section_detected,no_presentation_section_detected,12,12,1419,1419,1419,0.0,False,True,2,0,0,0,0,no presentation section detected; may be Q&A-only or section metadata issue
ASML,388904,2254866,712121700,2021-04-21,"ASML Holding N.V., Q1 2021 Pre Recorded Earnings Call, Apr 21, 2021",needs_review,no_presentation_section_detected,no_presentation_section_detected,10,10,1736,1736,1736,0.0,False,True,2,0,0,0,0,no presentation section detected; may be Q&A-only or section metadata issue
ASML,388904,2781785,1833673695,2023-04-19,"ASML Holding N.V., Q1 2023 Pre Recorded Earnings Call, Apr 19, 2023",needs_review,no_presentation_section_detected,no_presentation_section_detected,16,16,2081,2081,2081,0.0,False,True,1,1,0,0,0,no presentation section detected; may be Q&A-only or section metadata issue
AEP,135470,3622668,2540580,2006-02-01,"American Electric Power Co., Inc., Q4 2005 Earnings Call, Feb-01-2006",needs_review,no_qa_section_detected,no_qa_section_detected,3,3,767,767,497,0.3520208604954368,True,False,2,0,1,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
ASML,388904,3187507,1886656482,2024-07-17,"ASML Holding N.V., Q2 2024 Pre Recorded Earnings Call, Jul 17, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,1,1,946,946,946,0.0,True,False,1,0,0,0,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
ASML,388904,3283865,1900727100,2024-10-15,"ASML Holding N.V., Q3 2024 Pre Recorded Earnings Call, Oct 15, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,1,1,2395,2395,2395,0.0,True,False,1,0,0,0,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
COST,92817,3626700,2455611,2005-12-08,"Costco Wholesale Corporation, Q1 2006 Earnings Call, Dec-08-2005",needs_review,no_qa_section_detected,no_qa_section_detected,2,2,4883,4883,4801,0.0167929551505222,True,False,1,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
EA,27963,3632513,1926382,2005-11-01,"Electronic Arts Inc., Q2 2006 Earnings Call, Nov-01-2005",needs_review,no_qa_section_detected,no_qa_section_detected,3,3,2793,2793,2396,0.142141066953097,True,False,2,0,1,1,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
FER,883809,556826,223369590,2012-10-30,"Ferrovial, S.A., Nine Months 2012 Earnings Call, Oct 30, 2012",needs_review,no_qa_section_detected,no_qa_section_detected,1,1,392,392,392,0.0,True,False,1,0,0,0,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
GILD,29002,3626791,5100888,2008-01-23,"Gilead Sciences Inc., Q4 2007 Earnings Call, Jan-23-2008",needs_review,no_qa_section_detected,no_qa_section_detected,5,5,4800,4800,4364,0.0908333333333333,True,False,4,0,1,1,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,11179,5700995,2008-08-08,"Insmed Incorporated, Q2 2008 Earnings Call, Aug-08-2008",needs_review,no_qa_section_detected,no_qa_section_detected,5,5,2465,2465,2240,0.0912778904665314,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,36234,61646030,2009-08-13,"Insmed Incorporated, Q2 2009 Earnings Call, Aug-13-2009",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,2294,2294,2051,0.1059285091543156,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,97312,98981052,2010-03-15,"Insmed Incorporated, Q4 2009 Earnings Call, Mar-15-2010",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,1902,1902,1666,0.1240799158780231,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,99907,104821882,2010-05-06,"Insmed Incorporated, Q1 2010 Earnings Call, May-06-2010",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,1692,1692,1458,0.1382978723404255,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,1264663,532442961,2017-08-03,"Insmed Incorporated, Q2 2017 Earnings Call, Aug 03, 2017",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,2457,2457,2060,0.1615791615791616,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,859798,308187905,2015-08-14,"Kraft Foods Group, Inc., The Kraft Heinz Company, Q2 2015 Earnings Call, Aug 14, 2015",needs_review,no_qa_section_detected,no_qa_section_detected,5,5,804,804,526,0.345771144278607,True,False,2,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2265985,713127903,2021-04-29,"The Kraft Heinz Company, Q1 2021 Pre Recorded Earnings Call, Apr 29, 2021",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,3833,3833,3616,0.0566136185755282,True,False,5,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2385249,1676169508,2021-08-04,"The Kraft Heinz Company, Q2 2021 Pre Recorded Earnings Call, Aug 04, 2021",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,4079,4079,3854,0.0551605785731796,True,False,5,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2414450,1684347080,2021-10-27,"The Kraft Heinz Company, Q3 2021 Pre Recorded Earnings Call, Oct 27, 2021",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3080,3080,2877,0.0659090909090909,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2496667,1764635357,2022-02-16,"The Kraft Heinz Company, Q4 2021 Pre Recorded Earnings Call, Feb 16, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,4154,4154,3930,0.0539239287433799,True,False,5,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2546170,1777110324,2022-04-27,"The Kraft Heinz Company, Q1 2022 Pre Recorded Earnings Call, Apr 27, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3783,3783,3571,0.0560401797515199,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2606081,1789593261,2022-07-27,"The Kraft Heinz Company, Q2 2022 Pre Recorded Earnings Call, Jul 27, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4075,4075,3862,0.0522699386503067,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2664483,1803043168,2022-10-26,"The Kraft Heinz Company, Q3 2022 Pre Recorded Earnings Call, Oct 26, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4562,4562,4291,0.0594037702761947,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2740276,1823040476,2023-02-15,"The Kraft Heinz Company, Q4 2022 Pre Recorded Earnings Call, Feb 15, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3700,3700,3423,0.0748648648648648,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2793724,1832689694,2023-05-03,"The Kraft Heinz Company, Q1 2023 Pre Recorded Earnings Call, May 03, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4898,4898,4626,0.055532870559412,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2865866,1847526923,2023-08-02,"The Kraft Heinz Company, Q2 2023 Pre Recorded Earnings Call, Aug 02, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,2846,2846,2575,0.095221363316936,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2932366,1858513524,2023-11-01,"The Kraft Heinz Company, Q3 2023 Pre Recorded Earnings Call, Nov 01, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,5,5,3741,3741,3463,0.0743116813686179,True,False,4,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3260817,1868664945,2024-02-14,"The Kraft Heinz Company, Q4 2023 Pre Recorded Earnings Call, Feb 14, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3437,3437,3163,0.0797206866453302,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3105110,1877508245,2024-05-01,"The Kraft Heinz Company, Q1 2024 Pre Recorded Earnings Call, May 01, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3682,3682,3419,0.0714285714285714,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
