primary_ticker,ciq_company_id,ciq_company_name,first_transcript_date,last_transcript_date,distinct_transcript_years,deduped_call_count,auto_keep_min10y,manual_keep_exception,keep_final,coverage_status,coverage_filter_reason,related_tickers
AAPL,24937,Apple Inc.,2006-01-18,2025-10-30,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ADBE,24321,Adobe Inc.,2006-03-22,2025-12-10,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ADI,251411,"Analog Devices, Inc.",2006-02-09,2025-11-25,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ADP,126269,"Automatic Data Processing, Inc.",2006-01-25,2025-10-29,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ADSK,119902,"Autodesk, Inc.",2005-11-17,2025-11-25,21,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AEP,135470,"American Electric Power Company, Inc.",2006-02-01,2025-10-29,20,75,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ALNY,2796659,"Alnylam Pharmaceuticals, Inc.",2008-02-07,2025-10-30,18,72,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AMAT,251230,"Applied Materials, Inc.",2006-02-15,2025-11-13,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AMD,168864,"Advanced Micro Devices, Inc.",2006-01-18,2025-11-04,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AMGN,24816,Amgen Inc.,2006-07-20,2025-11-04,20,76,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AMZN,18749,"Amazon.com, Inc.",2006-02-02,2025-10-30,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ASML,388904,ASML Holding N.V.,2006-10-18,2025-10-15,19,101,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AVGO,25016048,Broadcom Inc.,2010-08-24,2025-12-11,16,60,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
AXON,885779,"Axon Enterprise, Inc.",2007-02-21,2025-11-04,19,73,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
BKNG,33254,Booking Holdings Inc.,2006-02-16,2025-10-28,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
BKR,425005479,Baker Hughes Company,2017-10-20,2025-10-24,9,33,False,True,True,keep_manual_exception,call_count_near_threshold_manual_keep,
CCEP,109130811,Coca-Cola Europacific Partners PLC,2009-02-11,2025-08-06,17,54,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CDNS,25941,"Cadence Design Systems, Inc.",2006-02-01,2025-10-27,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CHTR,19609,"Charter Communications, Inc.",2008-02-27,2025-10-31,17,67,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CMCSA,173341,Comcast Corporation,2006-02-02,2025-10-30,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
COST,92817,Costco Wholesale Corporation,2005-12-08,2025-12-11,21,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CPRT,27023,"Copart, Inc.",2008-03-07,2025-11-20,18,70,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CSCO,19691,"Cisco Systems, Inc.",2006-02-07,2025-11-12,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CSGP,387127,"CoStar Group, Inc.",2008-04-24,2025-10-28,18,71,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CSX,257948,CSX Corporation,2007-07-18,2025-10-16,19,74,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CTAS,260725,Cintas Corporation,2007-03-20,2025-12-18,19,76,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
CTSH,386024,Cognizant Technology Solutions Corporation,2006-08-02,2025-10-29,20,76,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
DXCM,114039,"DexCom, Inc.",2008-03-11,2025-10-30,18,71,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
EA,27963,Electronic Arts Inc.,2005-11-01,2025-07-29,21,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
EXC,296181,Exelon Corporation,2006-07-31,2025-11-04,20,75,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
FANG,170245760,"Diamondback Energy, Inc.",2013-05-08,2025-11-04,13,51,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
FAST,270747,Fastenal Company,2007-10-11,2025-10-13,19,73,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
FER,883809,Ferrovial SE,2012-02-23,2025-10-29,13,50,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
FTNT,2689126,"Fortinet, Inc.",2010-04-28,2025-11-05,16,92,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
GILD,29002,"Gilead Sciences, Inc.",2006-01-30,2025-10-30,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
GOOGL,29096,Alphabet Inc.,2006-04-20,2025-10-29,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,GOOG|GOOGL
HON,1340740,Honeywell International Inc.,2007-07-19,2025-10-23,19,74,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
IDXX,29729,"IDEXX Laboratories, Inc.",2008-01-25,2025-11-03,18,70,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
INSM,29978,Insmed Incorporated,2008-08-08,2025-10-30,18,55,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
INTC,21127,Intel Corporation,2006-01-17,2025-10-23,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
INTU,21171,Intuit Inc.,2006-02-16,2025-11-20,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ISRG,30239,"Intuitive Surgical, Inc.",2007-07-19,2025-10-21,19,74,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
KDP,334622,Keurig Dr Pepper Inc.,2007-11-15,2025-07-24,17,61,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
KHC,278212,The Kraft Heinz Company,2007-08-24,2025-10-29,17,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
KLAC,282225,KLA Corporation,2006-07-27,2025-10-29,20,75,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
LIN,318049,Linde plc,2008-01-23,2025-10-31,18,69,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
LRCX,30655,Lam Research Corporation,2006-01-18,2025-10-22,20,77,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MAR,31148,"Marriott International, Inc.",2008-02-14,2025-11-04,18,71,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MCHP,31500,Microchip Technology Incorporated,2006-01-19,2025-11-06,20,76,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MDLZ,739693,"Mondelez International, Inc.",2007-08-01,2025-10-28,19,74,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MELI,34322384,"MercadoLibre, Inc.",2008-05-13,2025-10-29,18,70,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
META,20765463,"Meta Platforms, Inc.",2012-07-26,2025-10-29,14,54,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MNST,343729,Monster Beverage Corporation,2007-08-08,2025-11-06,19,72,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MPWR,3051626,"Monolithic Power Systems, Inc.",2008-07-31,2025-10-30,18,69,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MRVL,31158,"Marvell Technology, Inc.",2006-02-23,2025-12-02,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MSFT,21835,Microsoft Corporation,2006-04-27,2025-10-29,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MSTR,384976,Strategy Inc,2014-07-28,2025-10-30,12,46,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
MU,289030,"Micron Technology, Inc.",2005-12-21,2025-12-17,21,91,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
NFLX,32012,"Netflix, Inc.",2006-01-24,2025-10-21,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
NVDA,32307,NVIDIA Corporation,2006-08-10,2025-11-19,20,77,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
NXPI,934467,NXP Semiconductors N.V.,2011-05-04,2025-10-28,14,53,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ODFL,319404,"Old Dominion Freight Line, Inc.",2008-01-31,2025-10-29,18,71,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ORLY,324289,"O'Reilly Automotive, Inc.",2007-07-25,2025-10-23,19,74,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
PANW,25460099,"Palo Alto Networks, Inc.",2012-09-10,2025-11-19,14,54,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
PAYX,295368,"Paychex, Inc.",2007-03-29,2025-12-19,19,76,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
PCAR,294721,PACCAR Inc,2007-10-24,2025-10-21,19,73,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
PDD,572577901,PDD Holdings Inc.,2018-08-30,2025-11-18,8,30,False,True,True,keep_manual_exception,call_count_near_threshold_manual_keep,
PEP,32854,"PepsiCo, Inc.",2007-02-08,2025-10-09,19,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
PYPL,112732,"PayPal Holdings, Inc.",2015-10-28,2025-10-28,11,41,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
QCOM,33493,QUALCOMM Incorporated,2006-04-19,2025-11-05,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
REGN,33715,"Regeneron Pharmaceuticals, Inc.",2012-02-13,2025-10-28,14,56,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ROP,22751,"Roper Technologies, Inc.",2008-02-22,2025-10-23,18,72,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ROST,33926,"Ross Stores, Inc.",2006-03-15,2025-11-20,20,80,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
SBUX,34745,Starbucks Corporation,2006-08-02,2025-10-29,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
SHOP,84159238,Shopify Inc.,2015-07-30,2025-11-04,11,42,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
SNPS,35028,"Synopsys, Inc.",2006-02-15,2025-12-10,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
STX,3738520,Seagate Technology Holdings plc,2006-08-08,2025-10-28,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
TMUS,93339,"T-Mobile US, Inc.",2013-08-08,2025-10-23,13,50,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
TRI,515275,Thomson Reuters Corporation,2006-07-27,2025-11-04,20,70,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
TSLA,27444752,"Tesla, Inc.",2010-11-09,2025-10-22,16,61,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
TTWO,371281,"Take-Two Interactive Software, Inc.",2006-06-08,2025-11-06,20,75,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
TXN,140283,Texas Instruments Incorporated,2006-04-18,2025-10-21,20,79,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
VRSK,1027055,"Verisk Analytics, Inc.",2010-05-07,2025-10-29,16,63,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
VRTX,36235,Vertex Pharmaceuticals Incorporated,2006-02-07,2025-11-03,20,78,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
WBD,22666093,"Warner Bros. Discovery, Inc.",2010-02-10,2025-11-06,16,64,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
WDAY,23815047,"Workday, Inc.",2012-11-28,2025-11-25,14,53,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
WDC,314057,Western Digital Corporation,2006-11-02,2025-10-30,20,75,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
WMT,313055,Walmart Inc.,2006-08-15,2025-11-20,19,63,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
XEL,527542,Xcel Energy Inc.,2006-04-27,2025-10-30,20,77,True,False,True,keep_min10y,distinct_transcript_years_ge_10,
ZS,58838228,"Zscaler, Inc.",2018-06-06,2025-11-25,8,31,False,True,True,keep_manual_exception,call_count_near_threshold_manual_keep,
ABNB,115705393,"Airbnb, Inc.",2021-02-25,2025-11-06,5,20,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
APP,231651802,AppLovin Corporation,2021-05-12,2025-11-05,5,19,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
ARM,667281196,Arm Holdings plc,2023-11-08,2025-11-05,3,9,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
CEG,3136719,Constellation Energy Corporation,2022-05-12,2025-11-07,4,13,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
CRWD,420347413,"CrowdStrike Holdings, Inc.",2019-07-18,2025-12-02,7,27,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
DASH,243735719,"DoorDash, Inc.",2021-02-25,2025-11-05,5,20,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
DDOG,134521275,"Datadog, Inc.",2019-11-12,2025-11-06,7,25,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
GEHC,1804385326,GE HealthCare Technologies Inc.,2023-01-30,2025-10-29,3,12,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
PLTR,43580005,Palantir Technologies Inc.,2020-11-12,2025-11-03,6,21,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
SNDK,1860586153,Sandisk Corporation,2025-05-07,2025-11-06,1,3,False,False,False,drop_short_coverage,distinct_transcript_years_lt_10,
