ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source
KDP,Keurig Dr Pepper,334622,Keurig Dr Pepper Inc.,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,KDP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
KHC,Kraft Heinz,278212,The Kraft Heinz Company,Nasdaq,Consumer Staples,Packaged Foods,ticker_exchange_match,0.99,True,KHC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
KLAC,KLA Corporation,282225,KLA Corporation,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,KLAC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
LIN,Linde plc,318049,Linde plc,Nasdaq,Basic Materials,Major Chemicals,ticker_exchange_match,0.99,True,LIN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
LITE,Lumentum,272054403,Lumentum Holdings Inc.,Nasdaq,Technology,Communication Equipment,ticker_exchange_match,0.99,True,LITE,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
LRCX,Lam Research,30655,Lam Research Corporation,Nasdaq,Technology,Industrial Machinery,ticker_exchange_match,0.99,True,LRCX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MAR,Marriott International,31148,"Marriott International, Inc.",Nasdaq,Consumer Discretionary,Hotels/Resorts,ticker_exchange_match,0.99,True,MAR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=31,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MCHP,Microchip Technology,31500,Microchip Technology Incorporated,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MCHP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MDLZ,Mondelez International,739693,"Mondelez International, Inc.",Nasdaq,Consumer Staples,Packaged Foods,ticker_exchange_match,0.99,True,MDLZ,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MELI,Mercado Libre,34322384,"MercadoLibre, Inc.",Nasdaq,Consumer Discretionary,Catalog/Specialty Distribution,ticker_exchange_match,0.99,True,MELI,,verified,candidate_source=trading_item_join; name_similarity=0.960; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
META,Meta Platforms,20765463,"Meta Platforms, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,META,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=26,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MNST,Monster Beverage,343729,Monster Beverage Corporation,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,MNST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MPWR,Monolithic Power Systems,3051626,"Monolithic Power Systems, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MPWR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MRVL,Marvell Technology,31158,"Marvell Technology, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MRVL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MSFT,Microsoft,21835,Microsoft Corporation,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,MSFT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=14,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MSTR,MicroStrategy,384976,Strategy Inc,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,MSTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MU,Micron Technology,289030,"Micron Technology, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MU,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
NFLX,"Netflix, Inc.",32012,"Netflix, Inc.",Nasdaq,Consumer Discretionary,Consumer Electronics,ticker_exchange_match,0.99,True,NFLX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
NVDA,Nvidia,32307,NVIDIA Corporation,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,NVDA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
NXPI,NXP Semiconductors,934467,NXP Semiconductors N.V.,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,NXPI,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ODFL,Old Dominion Freight Line,319404,"Old Dominion Freight Line, Inc.",Nasdaq,Industrials,Trucking Freight/Courier Services,ticker_exchange_match,0.99,True,ODFL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ORLY,O'Reilly Automotive,324289,"O'Reilly Automotive, Inc.",Nasdaq,Consumer Discretionary,Auto & Home Supply Stores,ticker_exchange_match,0.99,True,ORLY,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PANW,Palo Alto Networks,25460099,"Palo Alto Networks, Inc.",Nasdaq,Technology,Computer Peripheral Equipment,ticker_exchange_match,0.99,True,PANW,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PAYX,Paychex,295368,"Paychex, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,PAYX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PCAR,Paccar,294721,PACCAR Inc,Nasdaq,Consumer Discretionary,Motor Vehicles,ticker_exchange_match,0.99,True,PCAR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PDD,PDD Holdings,572577901,PDD Holdings Inc.,Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,PDD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PEP,PepsiCo,32854,"PepsiCo, Inc.",Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,PEP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PLTR,Palantir Technologies,43580005,Palantir Technologies Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,PLTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
PYPL,PayPal,112732,"PayPal Holdings, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,PYPL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
QCOM,Qualcomm,33493,QUALCOMM Incorporated,Nasdaq,Technology,Broadcasting & Communications Equipment,ticker_exchange_match,0.99,True,QCOM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
REGN,Regeneron Pharmaceuticals,33715,"Regeneron Pharmaceuticals, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,REGN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ROP,Roper Technologies,22751,"Roper Technologies, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,ROP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ROST,Ross Stores,33926,"Ross Stores, Inc.",Nasdaq,Consumer Discretionary,Clothing/Shoe/Accessory Stores,ticker_exchange_match,0.99,True,ROST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SBUX,Starbucks,34745,Starbucks Corporation,Nasdaq,Consumer Discretionary,Restaurants,ticker_exchange_match,0.99,True,SBUX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SHOP,Shopify,84159238,Shopify Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,SHOP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=15,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SNDK,Sandisk,1860586153,Sandisk Corporation,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,SNDK,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
SNPS,Synopsys,35028,"Synopsys, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,SNPS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=9,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
STX,Seagate Technology,3738520,Seagate Technology Holdings plc,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,STX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=19,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
TMUS,T-Mobile US,93339,"T-Mobile US, Inc.",Nasdaq,Telecommunications,Telecommunications Service Providers,ticker_exchange_match,0.99,True,TMUS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
TRI,Thomson Reuters,515275,Thomson Reuters Corporation,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,TRI,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=37,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
TSLA,"Tesla, Inc.",27444752,"Tesla, Inc.",Nasdaq,Consumer Discretionary,Automobiles & Parts,ticker_exchange_match,0.99,True,TSLA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
TTWO,Take-Two Interactive,371281,"Take-Two Interactive Software, Inc.",Nasdaq,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,ticker_exchange_match,0.99,True,TTWO,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
TXN,Texas Instruments,140283,Texas Instruments Incorporated,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,TXN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
VRSK,Verisk Analytics,1027055,"Verisk Analytics, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,VRSK,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
VRTX,Vertex Pharmaceuticals,36235,Vertex Pharmaceuticals Incorporated,Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,VRTX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
WBD,Warner Bros. Discovery,22666093,"Warner Bros. Discovery, Inc.",Nasdaq,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,ticker_exchange_match,0.99,True,WBD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=14,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
WDAY,"Workday, Inc.",23815047,"Workday, Inc.",Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,WDAY,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
WDC,Western Digital,314057,Western Digital Corporation,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,WDC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=14,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
WMT,Walmart,313055,Walmart Inc.,Nasdaq,Consumer Discretionary,Department/Specialty Retail Stores,ticker_exchange_match,0.99,True,WMT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
XEL,Xcel Energy,527542,Xcel Energy Inc.,Nasdaq,Utilities,Power Generation,ticker_exchange_match,0.99,True,XEL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ZS,Zscaler,58838228,"Zscaler, Inc.",Nasdaq,Technology,EDP Services,ticker_exchange_match,0.99,True,ZS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
